CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,Height,RHeight,RTHeight,Inun,C14_0,iC15_0,aC15_0,C14_1,C15_0,iC16_0,C15_1,C16_0,C16_1w11t,C16_1w7t,aC17_0,C16_1,C16_1w9c,C18isomer1,C18isomer2,C18isomer3,C18isomer4,C17_0,me10C16_0,C17_1,C18_0,C18_1n9t,C18_1n9c,C19isomer3,C18_2n6c,me10C18_0,C18_3n3
FCNSW_090_2019-11-05_T2_P2,FCNSW_090,FC NSW 1022,5/11/19,2,2,144.383235,-35.780596,80.730003,4.57,0.710007,n,0.012,0.137,0.027,0.079,0.009,0.068,0.114,0.166,0.039,0.02,0.035,0.052,0.019,0.026,0.016,0.026,0.002,0.004,0,0,0.022,0.004,0.075,0,0.019,0.029,0
FCNSW_091_2019-11-05_T2_P3,FCNSW_091,FC NSW 1023,5/11/19,2,3,144.384195,-35.780728,80.694283,4.53428,0.674286,m,0.021,0.171,0.007,0.024,0.013,0.069,0.004,0.181,0.049,0.109,0.03,0.066,0.017,0.02,0.013,0.02,0.004,0.007,0,0,0.025,0.007,0.079,0,0.029,0.034,0.001
FCNSW_092_2019-11-05_T2_P4,FCNSW_092,FC NSW 1024,5/11/19,2,4,144.384389,-35.780678,80.019997,3.85999,0,y,0.016,0.143,0.003,0.016,0.014,0.056,0.128,0.182,0.034,0.014,0.034,0.05,0.014,0.024,0.015,0.024,0,0.005,0,0,0.02,0.087,0.072,0.006,0.017,0.026,0
FCNSW_093_2019-11-05_T3_P1,FCNSW_093,FC NSW 1031,5/11/19,3,1,144.42359,-35.862426,82.900002,6.74,0,n,0.02,0.154,0.005,0.019,0.014,0.084,0.007,0.206,0.051,0.027,0.033,0.062,0.02,0.026,0.016,0.026,0.002,0.007,0,0,0.027,0.005,0.098,0.014,0.042,0.033,0.001
FCNSW_094_2019-11-05_T3_P2,FCNSW_094,FC NSW 1032,5/11/19,3,2,144.424764,-35.862395,82.980003,6.82,0.080002,n,0.019,0.139,0.03,0.084,0.013,0.068,0.005,0.17,0.043,0.018,0.023,0.058,0.016,0.02,0.013,0.02,0.004,0.007,0,0.002,0.023,0.082,0.071,0.014,0.027,0.031,0
FCNSW_095_2019-11-05_T3_P3,FCNSW_095,FC NSW 1033,5/11/19,3,3,144.42555,-35.86226,83.300003,7.14,0.400002,n,0.019,0.128,0.025,0.073,0.013,0.074,0.006,0.181,0.046,0.018,0.024,0.053,0.015,0.019,0.011,0.019,0.003,0.006,0,0,0.024,0.086,0.074,0.013,0.04,0.029,0.001
FCNSW_096_2019-11-05_T3_P4,FCNSW_096,FC NSW 1034,5/11/19,3,4,144.42597,-35.862151,83.5,7.34,0.599998,n,0.018,0.153,0.007,0.022,0.014,0.077,0.005,0.222,0.036,0.042,0.031,0.069,0.025,0.006,0.003,0.006,0.012,0.008,0,0.002,0.034,0.004,0.099,0,0.06,0.043,0.002
FCNSW_097_2019-11-05_T4_P1,FCNSW_097,FC NSW 1041,5/11/19,4,1,144.34441,-35.74825,80.510002,4.35,1.200005,n,0.016,0.106,0.009,0.031,0.011,0.088,0.006,0.205,0.037,0.085,0.033,0.05,0.018,0.03,0.019,0.03,0.002,0.005,0,0,0.025,0.007,0.087,0.016,0.051,0.026,0.005
FCNSW_098_2019-11-05_T4_P2,FCNSW_098,FC NSW 1042,5/11/19,4,2,144.34441,-35.74903,79.57,3.41,0.260002,n,0.017,0.136,0.025,0.072,0.013,0.071,0.003,0.159,0.044,0.098,0.029,0.043,0.014,0.028,0.018,0.028,0.001,0.006,0,0,0.023,0.065,0.056,0.006,0.015,0.029,0
FCNSW_099_2019-11-05_T4_P3,FCNSW_099,FC NSW 1043,5/11/19,4,3,144.34407,-35.74957,79.440002,3.28,0.130005,n,0.019,0.127,0.028,0.079,0.013,0.05,0.102,0.151,0.032,0.07,0.021,0.049,0.014,0.016,0.009,0.016,0.005,0.006,0,0.001,0.019,0.064,0.055,0.011,0.017,0.025,0
FCNSW_100_2019-11-05_T4_P4,FCNSW_100,FC NSW 1044,5/11/19,4,4,144.34419,-35.75001,79.309998,3.14999,0,n,0.013,0.121,0.023,0.068,0.01,0.055,0.107,0.157,0.036,0.071,0.023,0.04,0.013,0.022,0.013,0.022,0,0.004,0,0.001,0.02,0.068,0.058,0.002,0.029,0.02,0.004
FCNSW_101_2019-11-05_T5_P1,FCNSW_101,FC NSW 1051,5/11/19,5,1,144.29449,-35.72734,80.019997,3.85999,1.099998,n,0.021,0.133,0.009,0.025,0.011,0.069,0.003,0.219,0.042,0.089,0.038,0.062,0.018,0.026,0.015,0.026,0.006,0.004,0,0,0.034,0.007,0.089,0,0.032,0.021,0.001
FCNSW_102_2019-11-05_T5_P2,FCNSW_102,FC NSW 1052,5/11/19,5,2,144.29568,-35.72802,79.650002,3.49,0.730003,n,0.013,0.141,0.029,0.085,0.013,0.066,0.002,0.181,0.047,0.011,0.024,0.058,0.018,0.017,0.01,0.017,0.002,0.006,0,0,0.024,0.077,0.069,0.014,0.042,0.035,0
FCNSW_103_2019-11-05_T5_P3,FCNSW_103,FC NSW 1053,5/11/19,5,3,144.29662,-35.72855,79.43,3.27,0.510002,n,0.018,0.143,0.027,0.081,0.013,0.079,0.004,0.202,0.049,0.017,0.032,0.052,0.02,0.028,0.017,0.028,0,0.007,0,0,0.029,0.003,0.085,0.01,0.019,0.036,0
