CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,DistLowP,Height,RHeight,RTHeight,Inun,UDepth,LDepth,Description,CoreVol,CoreMass,MoisFF,Moisture,Sand,Silt,Clay,MSand,MSilt,MClay,Texture,pHw,pHc,EC,CEC,AvailP,ExCa,ExMg,ExNa,ExK,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Se,Zn,Fizz,ADMoisture,MoisFAD,TotC,TotOC,TotN,d13C,d15N,MTotC,MTotOC,MTotIC,MTotN,POC,HOC,ROC,DOC,DTN,FumDOC,FumDTN,NO3,NH4,FAA,WHC,Proteolysis,AAMin_k1,AAMin_k2,AAMin_a,AAMin_b
FCNSW_127_2020-02-05_T1_P3,FCNSW_127,FC NSW 1013,2020-02-05,1,3,144.417647,-35.745413,,80.190002,4.030000,0.630005,m,0,30,"Mature RRG, 10% cover; Juvenile RRG 1%; Juncus 1%; Chenopod 1%; Litter 60%",2829,3840,1.091,0.091,39,24,38,43,27,30,Clay loam,5.82,4.69,0.0925,20.0,13.835,1458,968,220,338,27800,0,0,1810,0,12,33,16,25400,3770,2300,552,0,277,17,247,18,183,0,0,47,n,0.019,1.019,,23.72,1.31,-29.09,2.64,,,,,,,,95.01,21.86,238.34,29.92,12.957,3.666,0.921,23.05,3.602,0.1448,0.001,29.457,71.259
FCNSW_128_2020-02-05_T1_P4,FCNSW_128,FC NSW 1014,2020-02-05,1,4,144.417776,-35.745531,,79.559998,3.399990,0.000000,y,0,30,"Mature RRG <10%; Juncus 5%, lots of dead wood; 50% litter",2829,3740,1.075,0.075,55,23,23,58,23,19,Loam,6.1,5.26,0.0517,9.9,19.276,880,511,136,204,15900,0,0,846,0,0,22,0,12700,2550,1440,211,0,144,10,168,12,113,0,0,30,n,0.014,1.014,,12.33,1.08,-29.29,2.94,,,,,,,,63.91,9.02,186.7,15.37,4.254,1.3,0.721,13.98,2.67,0.1626,0.0009,28.963,71.9621
FCNSW_129_2020-02-04_T2_P1,FCNSW_129,FC NSW 1021,2020-02-04,2,1,144.382395,-35.780812,,81.239998,5.079990,1.220001,n,0,30,"Recently thinned RRG, some coppiced, some dead RRG ~20m, RRG cover ~15%; litter 40%",2829,3430,1.138,0.138,17,26,57,28,31,42,Silty clay,5.37,4.35,0.1361,25.0,8.817,1478,1332,334,344,44400,0,0,1340,0,14,50,18,40500,3980,2970,607,0,416,25,219,20,177,0,0,55,n,0.027,1.027,,19.04,1.2,-23.39,3.42,,,,,,,,116.36,20.74,225.86,24.92,5.903,7.271,1.187,14.26,4.519,0.0928,0.0008,32.118,68.9471
FCNSW_130_2020-02-04_T2_P2,FCNSW_130,FC NSW 1022,2020-02-04,2,2,144.383235,-35.780596,,80.730003,4.570000,0.710007,n,0,30,"Very disturbed site, RRG 5% coppiced / thinned, few chenopods",2829,4030,1.16,0.16,16,40,44,25,35,41,Silty clay,5.16,3.95,0.0569,20.0,12.103,800,866,184,232,26900,0,0,723,0,17,39,15,34300,2790,2000,1110,0,168,18,359,21,127,0,0,52,n,0.024,1.024,,13.48,1.17,-24.15,3.54,,,,,,,,80.86,14.71,199.74,20.59,4.387,3.266,1.059,19.7,3.763,0.0852,0.0006,32.624,68.3251
FCNSW_131_2020-02-04_T2_P3,FCNSW_131,FC NSW 1023,2020-02-04,2,3,144.384195,-35.780728,,80.694283,4.534280,0.674286,m,0,30,Mainly young RRG 30%; many branches; sedges 5%; Themeda; Litter 90%,2829,3140,1.138,0.138,18,46,36,25,39,35,Silty clay loam,5.14,4.27,0.0939,15.0,13.658,818,803,162,258,28900,0,0,810,0,17,41,13,33800,3600,2290,1250,0,162,19,386,17,135,0,0,50,n,0.022,1.022,,15.48,1.34,-28.69,3.79,,,,,,,,134.77,19.33,289.08,27.12,6.507,3.447,2.554,22.02,5.092,0.1118,0.0008,31.929,69.333
FCNSW_132_2020-02-04_T2_P4,FCNSW_132,FC NSW 1024,2020-02-04,2,4,144.384389,-35.780678,,80.019997,3.859990,0.000000,y,0,30,Mature RRG + saplings 30%; Juncus 10%; Litter 70%,2829,3430,1.136,0.136,22,47,31,31,39,31,Silty clay loam,5.62,4.31,0.0309,13.0,19.831,784,692,144,158,23400,0,0,758,0,0,36,12,26100,2780,1790,604,0,131,15,332,17,74,0,0,42,n,0.018,1.018,,10.32,1.03,-17.68,3.53,,,,,,,,71.91,5.58,154.65,12.68,0.1,0.65,1.037,13.71,2.564,0.1113,0.0008,30.136,70.7746
FCNSW_133_2020-02-04_T3_P1,FCNSW_133,FC NSW 1031,2020-02-04,3,1,144.423590,-35.862426,,82.900002,6.740000,0.000000,n,0,30,"Red gum, Black box, juncus",2829,3400,1.109,0.109,25,41,34,30,40,30,Silty clay loam,5.58,4.45,0.0708,15.0,10.286,718,795,176,260,26700,0,0,776,0,20,39,15,32700,3640,2280,1360,0,200,21,283,16,100,0,0,50,n,0.02,1.02,,22.87,1.18,-27.66,2.58,,,,,,,,155.12,13.79,288.92,21.65,1.463,1.917,3.448,19.1,4.639,0.1333,0.0009,28.582,72.101
FCNSW_134_2020-02-04_T3_P2,FCNSW_134,FC NSW 1032,2020-02-04,3,2,144.424764,-35.862395,,82.980003,6.820000,0.080002,n,0,30,"Red gum, grey box, juncus, ""cherry berry""",2829,3360,1.128,0.128,23,41,36,30,39,30,Silty clay loam,5.56,4.37,0.0777,16.0,15.703,920,929,236,342,30000,0,0,878,0,15,40,15,30900,4130,2510,1060,0,289,20,241,17,108,0,0,52,n,0.022,1.022,,17.03,1.39,-23.69,3.92,,,,,,,,87.09,15.81,238.77,25.42,1.29,5.554,2.016,23.01,3.593,0.111,0.0009,30.167,70.6708
FCNSW_135_2020-02-04_T3_P3,FCNSW_135,FC NSW 1033,2020-02-04,3,3,144.425550,-35.862260,,83.300003,7.140000,0.400002,n,0,30,"Grey box, sparse juncus, last logged >10 years ago",2829,3200,1.111,0.111,20,51,29,25,43,32,Silty clay loam,5.3,4.31,0.0846,13.0,17.279,696,675,164,230,26200,0,0,715,0,18,40,13,31000,3830,2350,1160,0,195,19,290,16,119,0,0,51,n,0.019,1.019,,24.14,1.33,-27.92,3.55,,,,,,,,72.41,10.89,185.59,15.46,0.88,2.604,1.324,24.31,4.184,0.1043,0.0008,29.762,71.0053
FCNSW_136_2020-02-04_T3_P4,FCNSW_136,FC NSW 1034,2020-02-04,3,4,144.425970,-35.862151,,83.500000,7.340000,0.599998,n,0,30,"Very mature red gum, cherry bush",2829,2840,1.116,0.116,15,59,26,25,45,30,Silty clay loam,5.68,4.86,0.0843,14.0,17.257,1084,757,146,312,24500,0,0,1170,0,0,37,12,20800,3770,2500,471,0,158,18,266,16,126,0,0,47,n,0.018,1.018,,16.64,1.57,-26.69,3.98,,,,,,,,90.34,12.55,200.2,19.58,1.472,2.746,1.451,25.45,4.506,0.169,0.0011,27.725,72.9865
